prezzo,m2,via,quartiere
 2.500/mese,160m²,Via Arbia,VERBANO
 1.150/mese,85m²,Via Appia Nuova,APPIO LATINO - ALBERONE
 1.350/mese,135m²,Via dei Traghetti,OSTIA PONENTE
 700/mese,40m²,Via dei Corneli,QUADRARO VECCHIO
 560/mese,35m²,Via Mario Carotenuto,GIARDINO DI ROMA
 4.880/mese,450m²,Via Massa di San Giuliano,CASTELVERDE
 800/mese,70m²,Via Tiburtina,TECNOPOLO
 5.000/mese,247m²,Via Antonio Bertoloni,PARIOLI
 3.800/mese,180m²,Via Sicilia,LUDOVISI
 5.500/mese,150m²,via Margutta,CAMPO MARZIO
 600/mese,39m²,Via dei Monti Tiburtini,MONTI TIBURTINI
 3.500/mese,50m²,Piazza di Pasquino,PARIONE
 4.300/mese,141m²,Largo del Nazareno,COLONNA
 480/mese,40m²,Viale Capitan Consalvo,OSTIA LEVANTE
 2.400/mese,220m²,Via Giovanni Arrivabene,VIGNA CLARA
 900/mese,70m²,Via Pietro Romano,TORRE SPACCATA
 800/mese,35m²,Via Vallombrosa,CORTINA D'AMPEZZO
 2.400/mese,180m²,Via Roncegno,TRIONFALE
 3.800/mese,180m²,Via Sicilia,LUDOVISI
 900/mese,53m²,Via della Camilluccia,CAMILLUCCIA
 1.850/mese,45m²,Via della Stelletta,S. EUSTACHIO
 1.500/mese,35m²,Via della Rosetta,S. EUSTACHIO
 850/mese,53m²,Via dei Marsi,S. LORENZO
 1.150/mese,90m²,Via Maria Bice Valori,PODERE ROSA
 580/mese,55m²,Via Robecco sul Naviglio,PIETRA PERTUSA
 2.500/mese,145m²,Via Mogadiscio,AFRICANO
 4.600/mese,150m²,Piazza del Risorgimento,PRATI
 3.200/mese,230m²,Via Salaria,SETTEBAGNI
 1.250/mese,99m²,Via Laurentina,EUR
 950/mese,67m²,Via Bartolomeo Gosio,COLLINA FLEMING
 700/mese,68m²,Via dei Limoni,ALESSANDRINO
 900/mese,53m²,Via Manlio di Veroli,VESCOVIO
 1.450/mese,130m²,via Casilina,FINOCCHIO
 650/mese,70m²,Via Gragnano,COLLE MONFORTANI
 1.200/mese,85m²,Via Volusia,GROTTAROSSA
 8.000/mese,500m²,Via Vittorio Veneto,LUDOVISI
 1.250/mese,103m²,Via di Monte Verde,MONTEVERDE NUOVO
 850/mese,105m²,Via Alessandro Battaglia,MALAFEDE
 15.000/mese,595m²,Viale Luca Gaurico,GIULIANO DALMATA
 850/mese,60m²,Via Antonio Sogliano,BRAVETTA
 700/mese,87m²,Viale Alessandrino,ALESSANDRINO
 1.300/mese,92m²,Via Carlo Cattaneo,ESQUILINO
 1.100/mese,110m²,Via Ipogeo degli Ottavi,OTTAVIA
 1.550/mese,137m²,Via Moneglia,TORREVECCHIA ALTA
 780/mese,91m²,Via del Torraccio,VILLA VERDE
 550/mese,40m²,Viale dei Caduti nella Guerra di Liberazione,SPINACETO
 850/mese,60m²,Via delle Egadi,MONTE SACRO
 2.200/mese,172m²,Via San Godenzo,SAN GODENZO
 1.050/mese,100m²,Via Francesco Tovaglieri,TOR TRE TESTE
 750/mese,45m²,Via Alessandro Pieri,MARCONI
 1.500/mese,85m²,Via Diano Marina,TORREVECCHIA ALTA
 870/mese,72m²,Circonvallazione Gianicolense,MONTEVERDE NUOVO
 1.000/mese,62m²,Via Prospero Farinacci,BALDO DEGLI UBALDI
 1.500/mese,45m²,Via Baccina,MONTI
 2.750/mese,140m²,Piazza Navona,PARIONE
 850/mese,61m²,Via Ferrante Ruiz,TORREVECCHIA ALTA
 3.000/mese,226m²,Viale Tito Livio,MEDAGLIE D'ORO
 2.400/mese,160m²,Via Giovanni Giraud,PONTE
 5.000/mese,661m²,Via Flaminia Nuova,QUARTO PEPERINO
 1.250/mese,90m²,Via del Casaletto,COLLI PORTUENSI
 6.500/mese,250m²,Porta Latina,APPIO S. GIOVANNI
 1.200/mese,80m²,Viale del Caravaggio,TOR MARANCIA
 3.000/mese,200m²,Via Monte Zebio,MAZZINI
 3.300/mese,100m²,via Margutta,CAMPO MARZIO
 2.200/mese,44m²,Via Archimede,PARIOLI
 1.100/mese,60m²,via Oreste Tiburzi,TRASTEVERE
 950/mese,88m²,Circonvallazione Ostiense,GARBATELLA
 1.700/mese,97m²,Circonvallazione Gianicolense,MONTEVERDE NUOVO
 1.950/mese,170m²,Via Andrea Millevoi,MILLEVOI
 900/mese,92m²,Via Bartolomeo Massalongo,PIETRALATA
 10.000/mese,525m²,Via Della Camilluccia,CAMILLUCCIA
 860/mese,60m²,Via Nora Ricci,GIARDINO DI ROMA
 650/mese,35m²,Via Francesco Sivori,EROI TRIONFALE
 2.300/mese,170m²,Via Agostino Depretis,CASTRO PRETORIO
 570/mese,38m²,Via Bondeno,VITINIA
 1.500/mese,110m²,Via Bartolomeo Colleoni,PRENESTINO LABICANO
 7.500/mese,330m²,Largo dell'Olgiata,OLGIATA
 720/mese,55m²,Via Cassia,TOMBA DI NERONE
 1.200/mese,84m²,viale Viale della Grande Muraglia,CASTELLACCIO
 900/mese,80m²,Via Romeo Rodriguez Pereira,BALDUINA
 2.500/mese,150m²,Via Arbia,VERBANO
 650/mese,55m²,Via dell'Isola Farnese,LA STORTA
 1.600/mese,130m²,Via delle Medaglie d'Oro,MEDAGLIE D'ORO
 850/mese,70m²,Via di San Romano,CASAL BRUCIATO
 830/mese,60m²,via Leopoldo Traversi,GARBATELLA
 2.600/mese,175m²,Via Alessandro Serpieri,PARIOLI
 1.200/mese,60m²,Via Archimede,PARIOLI
 700/mese,87m²,Viale Alessandrino,ALESSANDRINO
 1.350/mese,70m²,Via Pacuvio,APPIANO
 700/mese,59m²,Via Filippo Cremonesi,PRAMPOLINI
 850/mese,83m²,Viale Antonio Ciamarra,CINECITTA' EST
 1.250/mese,100m²,Via Federico De Roberto,TALENTI
 3.000/mese,140m²,Largo Temistocle Solera,VESCOVIO
 1.200/mese,93m²,Viale Prospero Colonna,PORTUENSE
 2.500/mese,110m²,Via dei Pastini,COLONNA
 6.000/mese,217m²,Via del Corso,CAMPO MARZIO
 750/mese,50m²,Via Pietro Marchisio,CINECITTA' EST
 2.450/mese,161m²,Viale Angelico,DELLA VITTORIA
 3.700/mese,230m²,Via Monte Zebio,MAZZINI
 2.400/mese,168m²,Via Livorno,ITALIA
 1.250/mese,95m²,Largo Valtournanche,PRATI FISCALI
 1.000/mese,110m²,Piazza di Villa Carpegna,AURELIO
 1.300/mese,71m²,Via Paolo Frisi,PARIOLI
 700/mese,70m²,Via Milena,DUE LEONI
 1.000/mese,90m²,Via Fezzan,AFRICANO
 1.300/mese,90m²,Via Cogoleto,TORREVECCHIA ALTA
 1.000/mese,90m²,Via Cardinal Pacca,AURELIO
 950/mese,45m²,Via Giuseppe Palumbo,MAZZINI
 1.950/mese,170m²,Via Andrea Millevoi,MILLEVOI
 1.350/mese,120m²,Via Gesualdo Bufalino,BUFALOTTA
 650/mese,45m²,Via Prenestina,PRENESTINO LABICANO
 1.250/mese,145m²,Via Emilio De Marchi,TALENTI
 10.000/mese,320m²,Via Ulisse Aldrovandi,BELLE ARTI
 3.000/mese,155m²,Via delle Carrozze,CAMPO MARZIO
 900/mese,80m²,Via Veturia,FURIO CAMILLO
 4.000/mese,235m²,Via Giorgio Baglivi,ITALIA
 450/mese,40m²,Via Francesco Donati,DRAGONA
 6.700/mese,170m²,Piazza di Spagna,CAMPO MARZIO
 2.100/mese,126m²,Via Galileo Ferraris,TESTACCIO
 1.200/mese,97m²,Via Umberto Moricca,VALLE AURELIA
 600/mese,45m²,Via Borghesiana,BORGHESIANA
 930/mese,75m²,Via Lucio Elio Seiano,APPIO CLAUDIO
 950/mese,110m²,Via dei Traghetti,OSTIA PONENTE
 700/mese,38m²,Via dei Corneli,QUADRARO VECCHIO
 1.200/mese,40m²,Via della Palombella,S. EUSTACHIO
 1.200/mese,160m²,Via achille torelli,TALENTI
 750/mese,42m²,Via Giuseppe Martucci,VESCOVIO
 650/mese,28m²,Via di Donna Olimpia,MONTEVERDE NUOVO
 3.000/mese,126m²,Via Lazio,LUDOVISI
 1.300/mese,120m²,Via Albalonga,APPIO S. GIOVANNI
 1.650/mese,130m²,"Via della Divisione Torino, 109",GIULIANO DALMATA
 650/mese,50m²,Via di Valle Santa,VALLE SANTA
 1.800/mese,120m²,Via Cassia,TOMBA DI NERONE
 600/mese,55m²,Via di Vermicino,BORGHESIANA
 700/mese,87m²,Viale Alessandrino,ALESSANDRINO
 1.200/mese,109m²,Via Dante De Blasi,COLLI PORTUENSI
 900/mese,50m²,Via Pietro Cartoni,MONTEVERDE NUOVO
 1.100/mese,105m²,Via Novacella,SAN PAOLO
 600/mese,45m²,Via Giarratana,DUE LEONI
 1.500/mese,105m²,Via Fabio Massimo,PRATI
 790/mese,80m²,Via Mergozzo,MONTESPACCATO
 450/mese,40m²,Via di Santa Cornelia,VALLE MURICANA
 800/mese,50m²,VIA SIDERNO,STATUARIO
 1.600/mese,110m²,Via Lorenzo il Magnifico,ITALIA
 1.000/mese,106m²,Via dell'Impruneta,MAGLIANA
 850/mese,72m²,Via Pramollo,MONTESPACCATO
 1.200/mese,75m²,Via Prisciano,MEDAGLIE D'ORO
 400/mese,18m²,Stanza Via Alessandro Nelli,GROTTE CELONI
 1.800/mese,133m²,Via di Vigna Stelluti,VIGNA CLARA
 650/mese,70m²,Via dei Fiori,ALESSANDRINO
 1.950/mese,182m²,Via Giuseppe Silla,GIUSTINIANA
 450/mese,40m²,Via di Santa Cornelia,VALLE MURICANA
 1.500/mese,60m²,Via Cavalier d'Arpino,PARIOLI
 3.000/mese,134m²,Via Flaminia,COLLINA FLEMING
 1.200/mese,65m²,Via Gregorio VII,AURELIO
 2.500/mese,120m²,Piazza di Campitelli,CAMPITELLI
 1.900/mese,180m²,Via Luigi Perrachio,INFERNETTO
 600/mese,55m²,Via di Vermicino,BORGHESIANA
 900/mese,73m²,Via Elisea Savelli,CASAL MONASTERO
 750/mese,45m²,Via Alessandro Pieri,MARCONI
 19.000/mese,2.325m²,Via Prenestina,PRENESTINO LABICANO
