prezzo,m2,via,quartiere
€ 1.800/mese,153m²,Via Barnaba Tortolini,PARIOLI
€ 1.650/mese,70m²,"Via Foligno,16",TUSCOLANO
€ 700/mese,20m²,Via Santa Maria Ausiliatrice,FURIO CAMILLO
€ 950/mese,60m²,Via Prenestina,PRENESTINO LABICANO
€ 1.000/mese,43m²,Via Pietro Mascagni,VESCOVIO
€ 1.235/mese,50m²,"Via Amedeo Avogadro,104",MARCONI
€ 800/mese,47m²,Viale Città d'Europa,TORRINO
€ 2.400/mese,170m²,Circonvallazione Clodia,DELLA VITTORIA
€ 950/mese,90m²,Via Roberto Malatesta,PRENESTINO LABICANO
€ 750/mese,35m²,Viale Jonio,TUFELLO
€ 600/mese,40m²,Via Courmayeur,CORTINA D'AMPEZZO
€ 1.300/mese,64m²,"Via del Mattonato,15",TRASTEVERE
€ 2.850/mese,50m²,"Borgo Pio,64",BORGO
€ 1.100/mese,48m²,Via Dardanelli,MAZZINI
€ 900/mese,85m²,Via Adriano Banchieri,INFERNETTO
€ 2.650/mese,50m²,"Vicolo Scanderbeg,85",TREVI
€ 850/mese,25m²,Via dei Frentani,S. LORENZO
€ 6.000/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 2.300/mese,170m²,via Rubicone,TRIESTE
€ 1.400/mese,90m²,Viale dei Colli Portuensi,COLLI PORTUENSI
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 1.200/mese,78m²,"Via Alberto Pollio,40",CASAL BERTONE
€ 1.000/mese,70m²,Viale Jonio,TUFELLO
€ 500/mese,45m²,Via Borghesiana,BORGHESIANA
€ 850/mese,85m²,Via Spadola,COLLE TAPPI
€ 3.050/mese,50m²,"Via Montebello,37",CASTRO PRETORIO
€ 2.900/mese,60m²,"Via dei Genovesi,31",TRASTEVERE
€ 1.250/mese,90m²,Via Ugo De Carolis,BALDUINA
€ 1.300/mese,95m²,Viale Gottardo ,MONTE SACRO
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 1.000/mese,80m²,Via Achille De Zigno,COLLINA LANCIANI
€ 1.400/mese,60m²,"Via Marmorata,169",TESTACCIO
€ 750/mese,34m²,Via Bobbio,TUSCOLANO
€ 1.200/mese,80m²,Via Casamari,SAN PAOLO
€ 600/mese,53m²,Via Nicola Moscardelli,TORRE ANGELA
€ 2.400/mese,150m²,Via Copenaghen,CASTELLACCIO
€ 1.800/mese,45m²,"Via Laura Mantegazza,3",MONTEVERDE NUOVO
€ 550/mese,40m²,Via Umberto Puppini,NUOVA PONTE DI NONA
€ 1.200/mese,65m²,Via Benedetto Croce,MONTAGNOLA
€ 1.950/mese,89m²,"Via Cassia,12",TOMBA DI NERONE
€ 750/mese,35m²,Viale Jonio,TUFELLO
€ 650/mese,30m²,Via dei Quintili,QUADRARO VECCHIO
€ 500/mese,27m²,Via delle Vigne,COLLE DEL SOLE
€ 850/mese,25m²,Via dei Caudini,S. LORENZO
€ 700/mese,65m²,Largo Giovanni Roncagli,OSTIA LEVANTE
€ 5.000/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 1.000/mese,110m²,Via Andrea del Verrocchio,CASETTA MATTEI
€ 450/mese,30m²,Via Giovanni Canestrini,SPREGAMORE
€ 1.150/mese,75m²,Via Enna,TUSCOLANO
€ 3.050/mese,50m²,"Via Merulana,233",ESQUILINO
€ 850/mese,55m²,Via Francesco Lemmi,APPIO LATINO - ALBERONE
€ 700/mese,70m²,Via Fratel Mario Adani,VILLAGGIO FALCONE
€ 900/mese,85m²,Viale della Pineta di Ostia,OSTIA LEVANTE
€ 1.100/mese,46m²,"Via Albert Einstein,42",MARCONI
€ 900/mese,75m²,Via Marco Valerio Corvo,APPIO CLAUDIO
€ 4.500/mese,50m²,"Piazza Albania,35",S. SABA
€ 1.800/mese,45m²,"Via Laura Mantegazza,28",MONTEVERDE NUOVO
€ 2.200/mese,130m²,Via Michele Mercati,BELLE ARTI
€ 2.200/mese,65m²,"Via della Cava Aurelia ,82",AURELIO
€ 1.200/mese,57m²,"Via Laurentina,825",EUR
€ 1.700/mese,120m²,Via Macedonia,APPIO LATINO - ALBERONE
€ 550/mese,50m²,Via Raffaele Stasi,DUE PONTI
€ 1.120/mese,46m²,Via Nepi,PONTE MILVIO
€ 900/mese,65m²,Via Avicenna,MARCONI
€ 2.500/mese,85m²,"Via Gregorio VII,90",AURELIO
€ 800/mese,80m²,Via di Vermicino,BORGHESIANA
€ 1.185/mese,40m²,"Via Amedeo Avogadro,104",MARCONI
€ 950/mese,60m²,Via Antonio Signorini,FONTE LAURENTINA
€ 2.900/mese,80m²,"Via Archimede,143",PARIOLI
€ 1.500/mese,85m²,Via Donatello,FLAMINIO
€ 750/mese,35m²,Via Monte Bianco,MONTE SACRO
€ 800/mese,45m²,Via di Monte del Gallo,AURELIO
€ 4.000/mese,120m²,"Via Papiniano,22",BALDUINA
€ 950/mese,50m²,Via Gian Francesco Albani,AURELIO
€ 1.450/mese,90m²,Via Federico Ozanam,MONTEVERDE NUOVO
€ 1.150/mese,70m²,Via Luigi Vittorio Bertarelli,PORTONACCIO
€ 500/mese,45m²,Via Borghesiana,BORGHESIANA
€ 3.500/mese,140m²,"Via Frattina,1",COLONNA
€ 880/mese,50m²,Via Luigi Vittorio Bertarelli,PORTONACCIO
€ 750/mese,55m²,Via dell'Imbrecciato,PORTUENSE
€ 850/mese,70m²,Via Luigi Lodi,MONTI TIBURTINI
€ 2.200/mese,35m²,"Via del Boccaccio,8",TREVI
€ 1.000/mese,80m²,Via Achille De Zigno,COLLINA LANCIANI
€ 1.300/mese,64m²,piazza bologna,ITALIA
€ 950/mese,75m²,Via del Casale Agostinelli,MORENA
€ 2.700/mese,178m²,"Via dei Monti Parioli, 47",PARIOLI
€ 3.200/mese,220m²,Via Topino,VERBANO
€ 950/mese,80m²,Via di Porta Maggiore,ESQUILINO
€ 1.000/mese,100m²,Via di Casal dei Pazzi,PONTE MAMMOLO
€ 450/mese,30m²,Via Tuscolana,DON BOSCO
€ 750/mese,44m²,Via Carlo Ludovico Bragaglia,CASALE NEI
€ 650/mese,41m²,Via Adolfo Apolloni,MAGLIANA
€ 1.300/mese,50m²,"Corso di Francia,182",VIGNA CLARA
€ 900/mese,93m²,Via delle Baleniere,OSTIA PONENTE
€ 875/mese,25m²,"Via Degli Orti d'Alibert,4",TRASTEVERE
€ 900/mese,70m²,Via Arturo Mercanti,MURATELLA
€ 1.400/mese,100m²,Via Rutilio Namaziano,OSTIA PONENTE
€ 650/mese,40m²,Via Adolfo Apolloni,MAGLIANA
€ 1.600/mese,70m²,"Via Giarabub,13",AFRICANO
€ 800/mese,70m²,Via Valle del Bosco,ISOLA FARNESE
€ 700/mese,38m²,Via Pietro Aretino,TALENTI
€ 2.200/mese,126m²,Via Giovanni Nicotera,MAZZINI
€ 1.050/mese,60m²,"Via Etruria, 12",APPIO S. GIOVANNI
€ 900/mese,40m²,Via Gregorio VII,AURELIO
€ 1.300/mese,45m²,Via Cimarra,MONTI
€ 1.100/mese,230m²,Via Dante da Maiano,S. ALESSANDRO - PRATOLUNGO
€ 950/mese,28m²,Vicolo dei Serpenti,MONTI
€ 560/mese,53m²,Via Diego Simonetti,OSTIA LEVANTE
€ 900/mese,71m²,Via Ugo Pesci,PORTONACCIO
€ 3.700/mese,50m²,"Via della Mercede,21",COLONNA
€ 1.200/mese,120m²,Via degli Estensi,VILLINI
€ 1.350/mese,114m²,Via Borgorose,DUE PONTI
€ 2.300/mese,180m²,"Via Cassia, 929 ",TOMBA DI NERONE
€ 850/mese,40m²,"Via Amedeo Cencelli,59",TOR PIGNATTARA
€ 700/mese,60m²,Via Eratostene,LA MARRANELLA
€ 850/mese,47m²,Via della Badia di Cava,MONTAGNOLA
€ 2.750/mese,120m²,Via Bertoloni,PARIOLI
€ 750/mese,30m²,Via Antonio degli Effetti,APPIO LATINO - ALBERONE
€ 1.050/mese,100m²,Via Celleno,GROTTAROSSA
€ 650/mese,53m²,Viale dei Caduti per la Resistenza,SPINACETO
€ 700/mese,55m²,Via Elio Chianesi,CASAL BRUNORI
€ 2.500/mese,160m²,Via Salaria,SETTEBAGNI
€ 500/mese,50m²,Via della Storta,CERQUETTE GRANDI
€ 950/mese,45m²,Via dei Sabelli,S. LORENZO
€ 1.700/mese,70m²,"Via Ettore Rolli,30",PORTA PORTESE
€ 1.000/mese,50m²,viale Viale della Grande Muraglia,CASTELLACCIO
€ 900/mese,50m²,Via della Cecchignola,CECCHIGNOLA
€ 650/mese,56m²,Via Domenico Modugno,GIARDINO DI ROMA
€ 950/mese,57m²,Via Alberto Giolitti,MEZZOCAMMINO
€ 1.750/mese,250m²,via Auriga,TOR DE' CENCI
€ 1.450/mese,140m²,Via Paolo Buzzi,LAURENTINO FONTE OSTIENSE
€ 400/mese,13m²,Via ezio sciamanna,TORREVECCHIA ALTA
€ 830/mese,55m²,VIA Don Rua,MANDRIONE
€ 900/mese,65m²,Largo Antonio Beltramelli,MONTI DI PIETRALATA
€ 690/mese,51m²,Viale del Lido,OSTIA LEVANTE
€ 1.650/mese,52m²,"Via Baldo degli Ubaldi,372",BALDO DEGLI UBALDI
€ 900/mese,20m²,"Vicolo della Renella,95",TRASTEVERE
€ 1.300/mese,50m²,"Via del Giuba,22",AFRICANO
€ 1.000/mese,75m²,Via Conca d'Oro,CONCA D'ORO
€ 880/mese,95m²,Via Orazio Console,SPINACETO
€ 10.500/mese,180m²,"Via della Botticella,21",TRASTEVERE
€ 900/mese,22m²,"Largo dei Librari,87",PARIONE
€ 1.550/mese,106m²,Via Bolsena,PONTE MILVIO
€ 1.700/mese,135m²,Via Malcesine,MONTE MARIO
€ 1.500/mese,130m²,Via Atenide,MADONNETTA
€ 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
€ 2.600/mese,50m²,"Via Buccari,11",EROI TRIONFALE
€ 900/mese,78m²,Via Cherubino Malpeli,TOR DE' CENCI
€ 1.150/mese,90m²,Via di Val Cannuta,VAL CANNUTA
€ 1.250/mese,78m²,Via Fiume Bianco,DECIMA
€ 1.400/mese,80m²,Via Delle Alpi,TRIESTE
€ 800/mese,65m²,Via Felice Poggi,VIGNA PIA
€ 900/mese,50m²,Via Rutilio Namaziano,OSTIA PONENTE
€ 1.500/mese,125m²,Via Luigi Capuana,TALENTI
€ 950/mese,90m²,Via Dino Penazzato,COLLATINO
€ 1.150/mese,66m²,Via Gregorio VII,AURELIO
€ 700/mese,65m²,Via Tor de' Schiavi,CENTOCELLE
€ 700/mese,50m²,Via dei Pescatori,OSTIA LEVANTE
€ 1.000/mese,60m²,Via Federico Nansen,OSTIENSE
€ 1.200/mese,61m²,via Emilia,LUDOVISI
€ 850/mese,80m²,Via Lino Liviabella,INFERNETTO
€ 850/mese,50m²,Via Val di Cogne,CONCA D'ORO
€ 1.200/mese,70m²,Via Vigevano,ITALIA
€ 800/mese,30m²,Via Gela,TUSCOLANO
€ 670/mese,60m²,Via Elmas,MONTE STALLONARA
€ 1.100/mese,45m²,Via Giuseppe Garibaldi,TRASTEVERE
€ 1.100/mese,84m²,Via Luigi Vittorio Bertarelli,PORTONACCIO
€ 2.000/mese,130m²,Via delle Montagne Rocciose,EUR
€ 1.500/mese,110m²,Via dei Monti di Primavalle,PRIMAVALLE
€ 1.000/mese,80m²,Via Achille De Zigno,COLLINA LANCIANI
€ 1.500/mese,89m²,"Via Padova, 43",ITALIA
€ 900/mese,45m²,Via dei Sabelli,S. LORENZO
€ 1.000/mese,65m²,Via Federico Nansen,OSTIENSE
€ 870/mese,97m²,Piazza Calipso,OSTIA PONENTE
€ 850/mese,50m²,Via Maria Pederzolli Danieli,MONTE MARIO
€ 600/mese,60m²,Via Antonio Cotogni,VALLERANO
€ 1.350/mese,75m²,Corso Trieste,TRIESTE
€ 1.600/mese,95m²,Viale del Vignola,FLAMINIO
€ 400/mese,15m²,Via Pentone 25,TOR DI MEZZAVIA
€ 1.050/mese,60m²,Via marco besso,VIGNA CLARA
€ 900/mese,55m²,Via della Marranella,LA MARRANELLA
€ 1.800/mese,140m²,Via Appia Antica,PARCO DELL'APPIA ANTICA
€ 2.000/mese,100m²,Via Tripoli,AFRICANO
€ 890/mese,70m²,Via Francesco Laparelli,TOR PIGNATTARA
€ 1.350/mese,48m²,"Viale dei Quattro Venti,165",MONTEVERDE VECCHIO
€ 750/mese,35m²,Viale Jonio,TUFELLO
€ 3.500/mese,90m²,"Vicolo di Montevecchio,2",PONTE
€ 900/mese,55m²,Via Guido Zanobini,DON BOSCO
€ 1.600/mese,60m²,Via dei Gigli d'Oro,PONTE
€ 1.850/mese,91m²,Via Giovanni Lanza,MONTI
€ 900/mese,89m²,Viale Val Padana,CONCA D'ORO
€ 1.250/mese,77m²,via Nemorense 188,VERBANO
€ 950/mese,67m²,Via Thailandia,EUR
€ 1.250/mese,95m²,Piazza Rosolino Pilo,MONTEVERDE VECCHIO
€ 650/mese,40m²,Via Adolfo Apolloni,MAGLIANA
€ 850/mese,65m²,Via degli Aldobrandeschi,VILLA TROILI
€ 550/mese,40m²,Via Poggio Rusco,VALLE MURICANA
€ 4.500/mese,120m²,"Via Papiniano,22",BALDUINA
€ 1.200/mese,39m²,"Clivo Rutario,16",MONTEVERDE VECCHIO
€ 1.400/mese,46m²,"Via Clitunno, 16",TRIESTE
€ 740/mese,50m²,Via Strigno,INFERNETTO
€ 1.500/mese,120m²,"Via Rivarone, 15",VAL CANNUTA
€ 1.500/mese,145m²,Via Leonardo Patrasso,DRAGONCELLO
€ 800/mese,65m²,Via Giuseppe Gregoraci,ROMANINA
€ 1.200/mese,90m²,Via di Monte del Gallo,AURELIO
€ 1.000/mese,100m²,Via Simonide,AXA
€ 900/mese,55m²,Via Visconte Maggiolo,LA MARRANELLA
€ 1.100/mese,70m²,Via Antonio Pacinotti,MARCONI
€ 950/mese,56m²,Via Caterina Troiani,TORRINO
€ 1.950/mese,45m²,"Via Baldo degli Ubaldi,112",BALDO DEGLI UBALDI
€ 600/mese,50m²,Via Braccianense,LA STORTA
€ 2.000/mese,80m²,"Via Lucrezio Caro,51",PRATI
€ 1.300/mese,96m²,Via Dei Prati Fiscali Vecchia,NUOVO SALARIO
€ 650/mese,70m²,Via Somma Lombardo,SELVA CANDIDA
€ 1.500/mese,35m²,Via Tommaso Salvini,PARIOLI
€ 1.000/mese,69m²,Via Raffaele Balestra,MONTEVERDE NUOVO
€ 1.300/mese,124m²,Via Tito Omboni,ARDEATINO
€ 600/mese,45m²,Via di Vermicino,BORGHESIANA
€ 2.900/mese,80m²,"Via Archimede,143",PARIOLI
€ 700/mese,60m²,Via Erminio Macario,GIARDINO DI ROMA
€ 1.000/mese,75m²,Via Mario Borsa,CASAL BRUCIATO
€ 1.550/mese,82m²,"Via Lucrino, 16",VERBANO
€ 1.200/mese,55m²,Via Alvise Cadamosto,MIANI
€ 1.200/mese,44m²,"Via Luce D'eramo,103",TALENTI
€ 650/mese,45m²,Via Menofilo,QUARTO MIGLIO
€ 1.100/mese,47m²,"Via Carlo Livi,13",TORREVECCHIA ALTA
€ 890/mese,102m²,Via arturo farinelli,CINQUINA
€ 850/mese,50m²,Via Angelo Fava,MONTE MARIO
€ 750/mese,35m²,Piazza dei Sanniti,S. LORENZO
€ 1.500/mese,100m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
€ 650/mese,50m²,Via Domenico Ceccarossi,INFERNETTO
€ 300/mese,20m²,Via Polense,OSTERIA DELL'OSA - VALLE CASTIGLIONE
€ 2.200/mese,65m²,"Via della Cava Aurelia ,82",AURELIO
€ 1.200/mese,70m²,Largo Virgilio Brocchi,MONTAGNOLA
€ 800/mese,40m²,Via Metauro,SALARIO
€ 720/mese,70m²,Via Padre Giuseppe Ferro,COLLE DEGLI ABETI
€ 300/mese,13m²,via Pentone 25,TOR DI MEZZAVIA
€ 1.600/mese,55m²,"Via Salvatore Pincherle,153",VALCO S. PAOLO
€ 1.500/mese,100m²,"Via Augusto Armellini,125",MAGLIANA
€ 2.600/mese,100m²,"Via Genserico Fontana,5",BALDUINA
€ 850/mese,80m²,Via Renato Simoni,MONTI DI PIETRALATA
€ 800/mese,18m²,"Vicolo dei Panieri,48",TRASTEVERE
€ 1.650/mese,90m²,Via Ettore Pais,LANCIANI
€ 2.300/mese,65m²,Via Vittoria,CAMPO MARZIO
€ 1.150/mese,84m²,Via Ermanno Ferrero,BAGNOLETTO
€ 3.900/mese,89m²,"Via Giovanni Miani,38",MIANI
€ 1.100/mese,70m²,Via Norico,APPIO S. GIOVANNI
€ 830/mese,60m²,via Lavaredo,MONTE SACRO
€ 750/mese,60m²,Viale della Vittoria,OSTIA LEVANTE
€ 1.350/mese,142m²,Via Umberto Fracchia,TALENTI
€ 2.100/mese,85m²,via Sicilia,LUDOVISI
€ 1.550/mese,40m²,"Viale delle Medaglie d'Oro,119",MEDAGLIE D'ORO
€ 650/mese,45m²,Via Pier Luigi Galletti,PALMAROLA
€ 1.300/mese,84m²,Via Ferdinando Verospi,MONTEVERDE NUOVO
€ 1.600/mese,64m²,Via Lovanio,PARIOLI
€ 800/mese,40m²,Via Guarcino,CENTOCELLE
€ 800/mese,70m²,via Livigno,VALLE MURICANA
€ 1.000/mese,143m²,Via Agnana Calabra,CENTRO GIANO
€ 650/mese,35m²,Piazza dei Navigatori,ARDEATINO
€ 750/mese,60m²,Via Sandro Penna,NUOVA TOR VERGATA
€ 1.060/mese,90m²,Via dei Castani,CENTOCELLE
€ 890/mese,70m²,Via Francesco Laparelli,TOR PIGNATTARA
€ 1.850/mese,110m²,Via Giovanni Battista Bodoni,TESTACCIO
€ 1.980/mese,113m²,Via di Valle Melaina,NUOVO SALARIO
€ 1.300/mese,80m²,via Giuseppe Acerbi,OSTIENSE
€ 950/mese,60m²,Via Ardeatina,FALCOGNANA-DIVINO AMORE
€ 1.050/mese,70m²,Via Mar della Cina,TORRINO
€ 1.100/mese,40m²,"Via Fratelli Ruspoli,2",PARIOLI
€ 950/mese,65m²,Via dei Sabelli,S. LORENZO
€ 800/mese,75m²,Via Antonio Fogazzaro,TALENTI
€ 710/mese,37m²,Via Camillo Porzio,APPIO LATINO - ALBERONE
€ 1.850/mese,90m²,Corso Trieste,TRIESTE
€ 1.650/mese,147m²,Via del Boschetto,MONTI
€ 1.450/mese,140m²,Via Paolo Buzzi,LAURENTINO FONTE OSTIENSE
€ 1.250/mese,69m²,"Via del Pigneto,108",PIGNETO
€ 1.200/mese,115m²,Via Marco Valerio Corvo,APPIO CLAUDIO
€ 3.100/mese,328m²,Via Ettore Regalia,BUFALOTTA
€ 850/mese,60m²,Via Giulio Cesare Cordara,APPIO LATINO - ALBERONE
€ 600/mese,50m²,Via Cassinelle,PIANA DEL SOLE
€ 500/mese,40m²,Viale Vasco De Gama,OSTIA PONENTE
€ 680/mese,50m²,Via San Godenzo,SAN GODENZO
€ 950/mese,76m²,Viale Italo Calvino,ACQUA ACETOSA OSTIENSE
€ 5.000/mese,50m²,"Via della Penna,59",CAMPO MARZIO
€ 800/mese,45m²,Piazza Bologna,ITALIA
€ 550/mese,35m²,Via Orazio Vecchi,INFERNETTO
€ 600/mese,30m²,Via Giorgio Bolognetti,MONTEVERDE NUOVO
€ 2.200/mese,233m²,Via Salaria,SETTEBAGNI
€ 1.400/mese,85m²,Via Urbino,TUSCOLANO
€ 850/mese,70m²,Via Rubra,LABARO
€ 1.950/mese,110m²,Salita di Monte del Gallo,AURELIO
€ 1.250/mese,115m²,Via Antonio De Micheli,FONTE MERAVIGLIOSA
€ 650/mese,45m²,Via Menofilo,QUARTO MIGLIO
€ 1.300/mese,80m²,Via Gran Sasso,MONTE SACRO
€ 1.500/mese,85m²,via Giovanni Garau 12,OSTIA PONENTE
€ 12.000/mese,1.150m²,largo olgiata,OLGIATA
€ 1.300/mese,62m²,Via Archimede,PARIOLI
€ 550/mese,34m²,Via Ignazio Scimonelli,ROMANINA
€ 780/mese,80m²,Via Manciano,COLLE DEL SOLE
€ 1.160/mese,65m²,"Via Tripoli, 152",AFRICANO
€ 700/mese,55m²,Via Guido Zanobini,DON BOSCO
€ 750/mese,80m²,"Via Michele Migliarini, 40",GREGNA S. ANDREA
€ 1.600/mese,70m²,Via Pasquale Villari,MONTI
€ 900/mese,60m²,Via Antonio dal Zotto,MEZZOCAMMINO
€ 2.000/mese,147m²,"Via Benaco,21",VERBANO
€ 750/mese,40m²,Via delle Palme,CENTOCELLE
€ 1.200/mese,100m²,Via Trasaghis,LABARO
€ 1.550/mese,92m²,Via Costantino Corvisieri,LANCIANI
€ 850/mese,25m²,Via Angelo Secchi,PARIOLI
€ 1.500/mese,100m²,Via Augusto Armellini,MAGLIANA
€ 500/mese,90m²,Via Giovanni Battista Magnaghi,GARBATELLA
€ 790/mese,65m²,Via Pina Menichelli,VALLERANO
€ 1.600/mese,108m²,via Giuseppe Luigi Passalacqua,ESQUILINO
€ 1.800/mese,45m²,"Via Laura Mantegazza,28",MONTEVERDE NUOVO
€ 1.000/mese,53m²,via Monte Amiata,NUOVO SALARIO
€ 1.200/mese,70m²,Via Simone Mosca,TORREVECCHIA ALTA
€ 550/mese,50m²,Via Cogliate,SELVA CANDIDA
€ 1.500/mese,110m²,Via Decimo Laberio,APPIANO
€ 1.350/mese,135m²,Via Costantino,SAN PAOLO
€ 950/mese,89m²,Via Mottola,VILLA VERDE
€ 490/mese,18m²,Largo Preneste,PRENESTINO LABICANO
€ 980/mese,55m²,Via Etruria,APPIO S. GIOVANNI
€ 900/mese,45m²,Via dei Campani,S. LORENZO
€ 750/mese,40m²,Via dei Guastatori,GIULIANO DALMATA
€ 1.200/mese,78m²,"Via Alberto Pollio,40",CASAL BERTONE
€ 1.400/mese,60m²,"Via Marmorata,169",TESTACCIO
€ 3.800/mese,120m²,"Via Castelfidardo,60",CASTRO PRETORIO
€ 1.200/mese,110m²,Via Luigi Kossuth,PORTUENSE
€ 700/mese,38m²,Via Torre Cajetani,PRENESTINO LABICANO
€ 650/mese,50m²,Via Menofilo,QUARTO MIGLIO
€ 1.350/mese,90m²,Corso Trieste,TRIESTE
€ 750/mese,50m²,Via di Torre Morena,MORENA
€ 1.000/mese,80m²,Via Silvestro Gherardi,MARCONI
€ 1.350/mese,89m²,Via Giuseppe Troiani,PORTUENSE
€ 700/mese,50m²,Via Antonino Parato,MONTE MARIO
€ 2.800/mese,160m²,Via vulci,APPIO S. GIOVANNI
€ 1.200/mese,57m²,"Via Laurentina,825",EUR
€ 1.700/mese,95m²,Via Nonantola,SAN PAOLO
€ 750/mese,50m²,Via di Torre Morena,MORENA
€ 720/mese,50m²,Via Chiusi,NUOVO SALARIO
€ 750/mese,30m²,Via dei Ciclamini,CENTOCELLE
€ 1.600/mese,90m²,Viale Aventino,RIPA
€ 650/mese,40m²,Via dei Corneli,QUADRARO VECCHIO
€ 2.500/mese,45m²,"Via della Frezza,48",CAMPO MARZIO
€ 800/mese,44m²,Via Giovanni da Empoli,OSTIENSE
€ 1.000/mese,50m²,Via della Camilluccia,CAMILLUCCIA
€ 1.000/mese,103m²,Largo Alfonso Favino,NUOVA ROMANINA
€ 2.100/mese,136m²,Piazzale delle Medaglie d'Oro,MEDAGLIE D'ORO
€ 1.000/mese,90m²,VIA TIBERIO IMPERATORE,SAN PAOLO
€ 5.000/mese,200m²,Via Gian Domenico Romagnosi,FLAMINIO
€ 1.100/mese,81m²,Via della Magliana,MAGLIANA
€ 4.500/mese,80m²,"Via del Viminale,58",CASTRO PRETORIO
€ 1.800/mese,48m²,Via del Portico d'Ottavia,S. ANGELO
€ 2.900/mese,60m²,"Via dei Genovesi,31",TRASTEVERE
€ 950/mese,60m²,Viale Aurelio Galleppini,MEZZOCAMMINO
€ 1.450/mese,140m²,Via Paolo Buzzi,LAURENTINO FONTE OSTIENSE
€ 800/mese,45m²,Piazza Bologna,ITALIA
€ 900/mese,20m²,"Vicolo della Renella,95",TRASTEVERE
€ 700/mese,30m²,Via Salaria,SETTEBAGNI
€ 1.300/mese,49m²,Salita De' Crescenzi,S. EUSTACHIO
€ 2.200/mese,150m²,Via Alessandria,SALARIO
€ 550/mese,25m²,Via Stresa,TRIONFALE
€ 760/mese,52m²,Via Giorgio De Lullo,GIARDINO DI ROMA
€ 1.750/mese,40m²,"Via dell'Archetto,27",TREVI
€ 1.900/mese,70m²,"Via Rialto,56",EROI TRIONFALE
€ 550/mese,40m²,Via del Fosso di Sant'Andrea,MORENA
€ 750/mese,45m²,Via Archimede,PARIOLI
€ 500/mese,25m²,Via dei Due Ponti,DUE PONTI
€ 800/mese,55m²,Viale Vincenzo Marronaro,VALLERANO
€ 3.300/mese,180m²,Via Flaminia,COLLINA FLEMING
€ 930/mese,70m²,Via Guido Castelnuovo,MARCONI
€ 750/mese,85m²,Via di Torre Morena,MORENA
€ 650/mese,45m²,Via Menofilo,QUARTO MIGLIO
€ 1.000/mese,95m²,Via della Cecchignola,CECCHIGNOLA
€ 3.200/mese,275m²,Via dei Lugari,PARCO DELL'APPIA ANTICA
€ 2.500/mese,151m²,Via Pirro Ligorio,S. SABA
€ 2.200/mese,120m²,Via Paraguay,PARIOLI
€ 2.400/mese,60m²,Via dei Coronari,PONTE
€ 700/mese,35m²,Viale delle Mura Aurelie,CAVALLEGGERI
€ 1.500/mese,140m²,Via mario menghini,APPIO LATINO - ALBERONE
€ 750/mese,40m²,Via dei Guastatori,GIULIANO DALMATA
€ 700/mese,30m²,Viale di Tor di Quinto,PONTE MILVIO
€ 750/mese,65m²,Via dei Gelsi,CENTOCELLE
€ 1.300/mese,75m²,Via Taranto,TUSCOLANO
€ 920/mese,65m²,Via di Brava,COLLE AURELIO
€ 3.500/mese,40m²,"Via dell'Orso,22",PONTE
€ 650/mese,65m²,Via delle Passiflore,ALESSANDRINO
€ 1.300/mese,130m²,Via Appia Nuova,APPIO LATINO - ALBERONE
€ 2.000/mese,104m²,Viale Angelico,DELLA VITTORIA
€ 500/mese,40m²,Via di Torrevecchia,TORREVECCHIA ALTA
€ 650/mese,58m²,Via Paolo Orsi,GREGNA S. ANDREA
€ 1.400/mese,130m²,Via dei Cristofori,TORREVECCHIA ALTA
€ 900/mese,90m²,Via Piano Api,FINOCCHIO
€ 700/mese,60m²,Via Sant'Elena Sannita,COLLE DEGLI ABETI
€ 1.500/mese,130m²,Via Atenide,MADONNETTA
€ 800/mese,54m²,Via Alberto Cadlolo,MEDAGLIE D'ORO
€ 2.800/mese,45m²,"Via Marcantonio Bragadin ,96",EROI TRIONFALE
€ 2.800/mese,50m²,"Via Marcantonio Bragadin,50",EROI TRIONFALE
€ 3.500/mese,60m²,"Via Venti Settembre,4",SALLUSTIANO
€ 550/mese,65m²,Via Laino Castello,VALLE BORGHESIANA
€ 1.200/mese,65m²,Via Archimede,PARIOLI
€ 680/mese,35m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
€ 1.100/mese,84m²,Via Luigi Vittorio Bertarelli,PORTONACCIO
€ 830/mese,49m²,Via Aurelio Galleppini,MEZZOCAMMINO
€ 1.600/mese,50m²,"Via Bernardino Telesio,14",EROI TRIONFALE
€ 800/mese,45m²,viale aldo ballarin,TINTORETTO
€ 3.600/mese,330m²,Via Serrata,MORENA
€ 1.800/mese,98m²,"Viale di Valle Aurelia,81",VALLE AURELIA
€ 750/mese,35m²,Piazza dei Sanniti,S. LORENZO
€ 450/mese,30m²,Via Giovanni Canestrini,SPREGAMORE
€ 1.450/mese,45m²,"Via Homs,14",AFRICANO
€ 1.200/mese,70m²,Via di Vigna Stelluti,VIGNA CLARA
€ 1.300/mese,70m²,Via Luigi Pianciani,ESQUILINO
€ 900/mese,63m²,Largo Antonio Beltramelli,MONTI DI PIETRALATA
