id,nome,turistiche,storiche,metro,quartiere
452570567,Catacombe di San Sebastiano,attraction,catacomb,,PARCO DELL'APPIA ANTICA
503717191,Castro Pretorio,,,subway_entrance,CASTRO PRETORIO
561206601,EUR Palasport,,,subway_entrance,EUR
561206602,EUR Palasport,,,subway_entrance,EUR
563750841,Porta Furba - Quadraro,,,subway_entrance,QUADRARETTO
563750844,Porta Furba - Quadraro,,,subway_entrance,QUADRARETTO
563750846,Porta Furba - Quadraro,,,subway_entrance,QUADRARO
602095458,Museo Storico dei Bersaglieri,museum,,,CASTRO PRETORIO
618491090,Galeria,,archaeological_site,,S. MARIA DI GALERIA
619379530,Castro Pretorio,,,subway_entrance,LA SAPIENZA UNIVERSITA'
623380963,Libia,,,station,AFRICANO
633021078,Cipro,,,subway_entrance,EROI TRIONFALE
633021079,Cipro,,,subway_entrance,EROI TRIONFALE
633021080,Cipro,,,subway_entrance,EROI TRIONFALE
656532697,Galleria Spada,museum,,,REGOLA
656829698,Museo di Roma,museum,,,PARIONE
663736649,Spagna,,,subway_entrance,CAMPO MARZIO
665301338,Ottaviano,,,subway_entrance,PRATI
665314908,Ottaviano,,,subway_entrance,PRATI
665314909,Ottaviano,,,subway_entrance,PRATI
665314910,Ottaviano,,,subway_entrance,PRATI
665314916,Ottaviano,,,subway_entrance,PRATI
665314917,Ottaviano,,,subway_entrance,PRATI
668018005,Lepanto,,,subway_entrance,PRATI
668018010,Lepanto,,,subway_entrance,PRATI
668018013,Lepanto,,,subway_entrance,PRATI
672115902,Ottaviano,,,subway_entrance,PRATI
672330123,Ottaviano,,,subway_entrance,PRATI
677476578,Museo Nazionale Romano,museum,,,PONTE
706793341,Palazzo Doria Pamphilj,museum,,,PIGNA
766869078,Harry's Bar,,monument,,LUDOVISI
767846683,Flaminio - Piazza del Popolo,,,subway_entrance,VALLE GIULIA
767846684,Flaminio - Piazza del Popolo,,,subway_entrance,FLAMINIO
767846685,Flaminio - Piazza del Popolo,,,subway_entrance,FLAMINIO
767846770,Flaminio,,,subway_entrance,VALLE GIULIA
801468268,Ponte Mammolo,,,subway_entrance,MONTE DEL PECORARO
907635494,Marconi,,,subway_entrance,SAN PAOLO
1130864404,Garbatella,,,subway_entrance,OSTIENSE
1140142103,Vittorio Emanuele,,,subway_entrance,ESQUILINO
1156359881,Vittorio Emanuele,,,subway_entrance,ESQUILINO
1168036989,Piramide,,,subway_entrance,MIANI
1168535700,Re di Roma,,,subway_entrance,TUSCOLANO
1186543213,Policlinico,,,subway_entrance,LA SAPIENZA UNIVERSITA'
1186543219,Policlinico,,,subway_entrance,ITALIA
1186544719,Policlinico,,,subway_entrance,NOMENTANO
1207359905,Barberini,,,subway_entrance,COLONNA
1207359906,Barberini,,,subway_entrance,TREVI
1207359907,Barberini,,,subway_entrance,LUDOVISI
1207362549,Barberini,,,subway_entrance,TREVI
1207362552,Barberini,,,subway_entrance,TREVI
1208034381,Repubblica,,,subway_entrance,CASTRO PRETORIO
1208034385,Repubblica,,,subway_entrance,CASTRO PRETORIO
1219478580,San Giovanni,,,subway_entrance,TUSCOLANO
1219478599,San Giovanni,,,subway_entrance,APPIO S. GIOVANNI
1228100018,Cornelia,,,subway_entrance,BOCCEA
1235753553,Battistini,,,subway_entrance,PINETA SACCHETTI
1240910257,Barberini,,,subway_entrance,COLONNA
1258879997,Furio Camillo,,,subway_entrance,FURIO CAMILLO
1258880074,Furio Camillo,,,subway_entrance,FURIO CAMILLO
1262595092,Ponte Lungo,,,subway_entrance,TUSCOLANO
1262595135,Ponte Lungo,,,subway_entrance,APPIO S. GIOVANNI
1262595309,Ponte Lungo,,,subway_entrance,APPIO S. GIOVANNI
1262595627,Ponte Lungo,,,subway_entrance,APPIO S. GIOVANNI
1266009880,Anagnina,,,subway_entrance,OSTERIA DEL CURATO
1266009940,Anagnina,,,subway_entrance,OSTERIA DEL CURATO
1280119807,Grotte Celoni,,,station,GROTTE CELONI
1282622849,Baldo degli Ubaldi,,,subway_entrance,BALDO DEGLI UBALDI
1282622850,Baldo degli Ubaldi,,,subway_entrance,BALDO DEGLI UBALDI
1286920242,Monumento a Simon Bolivar,artwork,monument,,MONTE SACRO
1297245348,Lepanto,,,subway_entrance,PRATI
1297245351,Lepanto,,,subway_entrance,PRATI
1297245354,Lepanto,,,subway_entrance,PRATI
1297245357,Lepanto,,,subway_entrance,PRATI
1297245358,Lepanto,,,subway_entrance,PRATI
1303845491,Museo Pietro Canonica,museum,,,VILLA BORGHESE
1305071783,Idrocronometro,attraction,,,CAMPO MARZIO
1308364479,Furio Camillo,,,subway_entrance,FURIO CAMILLO
1313285478,Vitinia,,,station,VITINIA
1313285481,Tor di Valle,,,station,DECIMA
1319005664,Rebibbia,,,subway_entrance,PONTE MAMMOLO
1332292784,Baldo degli Ubaldi,,,subway_entrance,BALDO DEGLI UBALDI
1340656195,Obelisco della Minerva,,monument,,PIGNA
1379873992,Cornelia,,,subway_entrance,BOCCEA
1381077891,Sant'Agnese/Annibaliano,,,station,TRIESTE
1387899682,Sacrario delle Bandiere delle Forze Armate,museum,,,CAMPITELLI
1391602798,San Giovanni,,,subway_entrance,APPIO S. GIOVANNI
1391602799,San Giovanni,,,subway_entrance,APPIO S. GIOVANNI
1391602800,San Giovanni,,,subway_entrance,APPIO S. GIOVANNI
1394264038,Bologna,,,subway_entrance,ITALIA
1394264039,Bologna,,,subway_entrance,ITALIA
1394264040,Bologna,,,subway_entrance,ITALIA
1394264041,Bologna,,,subway_entrance,ITALIA
1394264042,Bologna,,,subway_entrance,ITALIA
1427363758,Arco di Travertino,,,subway_entrance,ARCO DI TRAVERTINO
1427368763,Numidio Quadrato Dir.Battistini,,,subway_entrance,QUADRARETTO
1427368764,Numidio Quadrato,,,subway_entrance,QUADRARETTO
1427368765,Numidio Quadrato,,,subway_entrance,QUADRARO
1427368766,Numidio Quadrato,,,subway_entrance,QUADRARO
1427370526,Numidio Quadrato,,,subway_entrance,QUADRARETTO
1427370530,Numidio Quadrato,,,subway_entrance,QUADRARO
1427373251,Lucio Sestio,,,subway_entrance,CECAFUMO
1427373518,Giulio Agricola,,,subway_entrance,APPIO CLAUDIO
1427373522,Giulio Agricola,,,subway_entrance,APPIO CLAUDIO
1427373523,Giulio Agricola,,,subway_entrance,DON BOSCO
1427373524,Giulio Agricola,,,subway_entrance,DON BOSCO
1427374763,Subaugusta,,,subway_entrance,APPIO CLAUDIO
1427374765,Subaugusta,,,subway_entrance,DON BOSCO
1427376792,Cinecittà,,,subway_entrance,APPIO CLAUDIO
1427376793,Cinecittà,,,subway_entrance,CINECITTA'
1440405490,Galleria Borghese,museum,,,VILLA BORGHESE
1447566610,Tempio di Augusto,,archaeological_site,,CAMPITELLI
1448531164,Portico degli Dei Consenti,,ruins,,CAMPITELLI
1453469565,Torrione di Via Prenestina,,archaeological_site,,PRENESTINO LABICANO
1477822167,Spagna,,,subway_entrance,CAMPO MARZIO
1510795500,Criptoportico Neroniano,,archaeological_site,,CAMPITELLI
1564276117,Vittorio Emanuele,,,subway_entrance,ESQUILINO
1564276124,Vittorio Emanuele,,,subway_entrance,ESQUILINO
1564383515,Cisterna Romana,,archaeological_site,,VILLA GORDIANI
1573148843,Piazzale delle Corporazioni,,ruins,,PARCO ARCHEOLOGICO OSTIA ANTICA
1573148901,Casa di Diana,,ruins,,PARCO ARCHEOLOGICO OSTIA ANTICA
1573148905,"Thermopolium (Reg. I, Is. II, 5)",,ruins,,PARCO ARCHEOLOGICO OSTIA ANTICA
