id,name,price,room_type,accommodates,review_scores_rating,quartiere
894339869579978961,Kay Dee-Double Room with Private Bathroom,$900.00,Private room,2,5.0,ESQUILINO
894589625704618918,Double Room in Residenza Sacconi by Hili,$148.00,Private room,2,4.14,FLAMINIO
894657215200010959,Magnolia Terrace Vatican Museum,$311.00,Entire home/apt,6,4.93,PRATI
898589406469529557,Giubbonari Penthouse,$322.00,Entire home/apt,8,4.96,PARIONE
898734878416720504,RhOME sweet RhOME - Apt in Rome,$64.00,Entire home/apt,3,4.47,MILLEVOI
898971772669650833,Romantic Vatican apartment,$119.00,Entire home/apt,3,4.54,MAZZINI
898973609172565405,Nice and cozy central apartment near Trastevere,$213.00,Entire home/apt,4,4.69,MONTEVERDE VECCHIO
899184445847244183,Theresa apartment,$93.00,Entire home/apt,6,4.94,SACCO PASTORE
899215746823797117,Un'oasi nel verde a pochi chilometri dalla città,$146.00,Entire home/apt,6,4.6,CERQUETTE GRANDI
894664612283256768,Loft stupendo nel cuore di Trastevere AcasadiCri,$247.00,Entire home/apt,4,4.75,TRASTEVERE
894701996825945036,Mary's House,$50.00,Entire home/apt,4,4.4,PRIMAVALLE
894713603925333346,Majestic apartment close to Spanish Steps,$318.00,Entire home/apt,4,4.92,CAMPO MARZIO
894738882512870780,Superior Room in Residenza Sacconi by Hili,$175.00,Private room,4,5.0,FLAMINIO
894805702326736257,Spacious apartment in Rome!,$75.00,Entire home/apt,4,4.83,CITTA' MILITARE DELLA CECCHIGNOLA
